Job title,Experience,Technologies,Views,Salary
Data Engineer      Entrée Capital,3,"Python, SQL, AWS",5,до $5500
Lead Python developer,3,Django,18,
"Senior Full Stack Developer (Python, FE, Azure)",,,3,
Strong Middle Back-end Developer (Python),3,"back-end, Backend development, backend, Python, Python3",30,
Senior Python WMS Developer,,"Python, Linux",84,$7000-8000
Strong Junior/Middle Data Scientist,,"Python, PySpark",280,
Python AI/ML Developer,,"Python, NumPy, WebSockets, OpenCV, Tensorflow, ChatGPT",138,
DevOps Engineer/ Python,,"VMware, vra/vro, Python, automation architecture",4,
Python Developer,,"Python3+, Python / Django, Django, RESTful API, AWS, PostgreSQL, MongoDB",99,
Python Developer,2,"Python, Django, Django Rest Framework, SQL, PostgreSQL, MySQL, MongoDB/MySQL/Postgres",371,
Python Developer,3,"Python, Linux \ Bash \ Git, Linux",166,
Full-Stack Developer (Python/React),3,"Python, React / Redux",35,
Python developer,,"Django, Flask",14,
RnD Manager,,,27,
Frontend Engineer,,,34,
Lead Python Developer,,,14,
Lead Python Engineer,,"Python, AWS, AWS Lambda, Docker, AWS CloudFormation, Python / Django, Apache",53,
"Senior Full Stack Developer (Python, FE, Azure) - work only from Poland",,"JavaScript, Azure",4,
Middle Python Developer,2,"Python, Django, Flask, FastAPI",147,
RnD Engineer,,,77,
Tech Lead/Senior Strong FS Engineer (Python/React),,"Python, Python / Django, React",15,
Data Scientist,,"MySQL, Python, Python scripting, Pandas",244,
Python Developer  (DCOS),2,"Python, API, Agile, Fluent English",107,
Python (Flask) Developer,3,"Python, Flask, Docker Compose, Docker, Redis, MongoDB",108,
Senior Software Engineer (Python),,,32,
Python Developer in ML/Data project,3,"Python, Apache Flink, Apache Kafka, Machine Learning, Apache Spark",49,
Стажер JS/Python/C++,,стажування,1018,
Python Developer (MRND),2,,82,
Lead Backend Engineer ‍,,"Python, Django, Celery, AWS, PostgreSQL, Pandas",53,
Middle Python Developer,3,Python,16,
Senior Python Developer,,"GCP, apache beam, dataflow, Python",76,
Python Developer,3,Python,76,
Senior Python Developer in ML/Data project,,"Python, Apache Flink, Apache Spark, Apache Kafka, Machine Learning",31,
Fullstack Python/React Developer,3,,33,$2000-3800
Python Software Engineer,2,"FastAPI, aws, sql, postgres, redis, NoSQL, CI / CD",119,
AI/ML Developer,3,"Machine Learning, numpy, PyTorch, NLP",76,
Python (Flask) Developer,3,"Python, Flask, Django/Flask/Aiohttp/FastApi",63,
Senior Python Developer,,,48,
Python Developer 3+ years of exp (with DevOps skills) - work only from Poland,3,,10,
Architect / Tech Lead / Staff Engineer,,"Python, Go, AWS, highload, Architect, Microservice architecture",68,
(Senior) Python Developer (Django/WAF),3,,25,
Python Team Lead,,"python, django, mongo, flask, ci/cd",37,
Senior Python Developer,,,20,$4000-5000
Tech Lead Python Engineer,,,21,
Python (Flask) Developer,3,"Python, Flask, Docker Compose, Docker, Redis, MongoDB",61,
Python Team Lead,,"Python, Django, Team Lead, CI/CD, Flask, Mongo DB",32,
GPT Machine Learning Engineer,3,"Machine Learning, Python",45,
Computer Vision engineer,,,291,
Senior FullStack (Python+React) Developer,3,,24,
Backend Engineer,3,,51,
Middle Python Developer,2,,75,
Python Engineer,3,"matlab, noisy environment, Python",56,$4900-5500
Python Software Engineer,3,"Python, MongoDB, AWS, Git",18,
Senior Python Developer,3,,7,
Python developer,2,Python,104,
FullStack Python Tech Lead,,"JavaScript, Python, TypeScript, HTML5, CSS/CSS3",2,
Middle Python Developer for Ciklum Client,3,,62,
Machine Learning Engineer,3,"Machine Learning, Python, Data Science",46,
Senior Python Developer - work only from Poland,3,,7,
ML Engineer,,"Machine Learning, Python, AWS, Spark, Kubernetes, Docker, PostgreSQL",38,$4000-5000
Middle Python Developer,3,"Django Rest Framework, Django, pyenv, virtualenv, Garbage Collection, WSGI/ASGI, linux environment",76,
Lead Python Engineer  (challenging greenfield project in the media marketing field),,"Python, AWS, AWS Lambda, AWS Step Functions",19,
Str.Middle/Senior Python Developer 2037/03,,"Python / Django, Python",26,до $5500
Middle+ Python Engineer,2,,132,
Lead Python Engineer,,"Python, AWS, CI/CD, Apache, Docker",19,
Backend Technical Leader,,"Python, Docker, CI/CD, Technical Leadership, Backend, TechLead",35,
Strong Junior / Middle Python Developer (Django),2,"Django, Celery, PostgreSQL, MongoDB",232,
Senior Python Engineer,,"Python / Django, Fast API, React, Mongo DB, Microservice architecture",22,
Back-end Course Creator,,,330,
"Backend Python developer (Python, Django)",2,,243,
Middle Python Developer,3,,56,
We are looking for Python/С++ developer,3,"Python, C++",81,
Backend Developer (Python),3,Python,65,
"Full stack developer (Python, Django, React/Vue)",3,,51,
Strong Middle Python Developer (FastAPI),2,"GCP, Python, FastAPI, SQLAlchemy, Flask",113,
Senior Full-Stack Engineer Python/Data Engineer(Data Modeling),,,16,
Math + Python Developer,,"Python, math",558,
Python Developer,3,,66,
ML Architect/Staff Engineer,,"Machine Learning, Python, AI, Data Science, Software Architecture, Technical Leadership",48,$7000-10000
